country,country_iso3,category,variable,source,raw_value,normalized_score,weight,primary
Denmark,DNK,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.045372995933613304,35.32,0.3,True
District of Columbia,,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,1.2105,12.105,0.3,True
Djibouti,DJI,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,4.333804330189048,13.434,0.2,False
Djibouti,DJI,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.020185708883921266,76.6455,0.3,True
Dominica,DMA,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.3596138996138996,96.8875,0.2,False
Dominica,DMA,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.028571428571428574,62.8868,0.3,True
Dominican Republic,DOM,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.6939638575622555,89.8665,0.2,False
Dominican Republic,DOM,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,9.289,92.89,0.3,True
Dominican Republic,DOM,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.014120498086343535,86.5969,0.3,True
Ecuador,ECU,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.5583466241360978,92.7143,0.2,False
Ecuador,ECU,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,9.0165,90.165,0.3,True
Ecuador,ECU,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.022776815116044104,72.3942,0.3,True
Egypt,EGY,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,1.0899268024566762,81.5517,0.2,False
Egypt,EGY,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,10.0,100.0,0.3,True
Egypt,EGY,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.01970317297850563,77.4372,0.3,True
El Salvador,SLV,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.7340243902439025,89.0253,0.2,False
El Salvador,SLV,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,8.8015,88.015,0.3,True
El Salvador,SLV,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.02767479674796748,64.3579,0.3,True
Equatorial Guinea,GNQ,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.0735495517928287,100.0,0.2,False
Equatorial Guinea,GNQ,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.005174614043824702,100.0,0.3,True
Estonia,EST,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,4.800633212503067,3.6311,0.2,False
Estonia,EST,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,8.668750000000003,86.6875,0.3,True
Estonia,EST,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.04349883768835135,38.3949,0.3,True
Eswatini,SWZ,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.8492319085750182,86.6061,0.2,False
Eswatini,SWZ,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.009474749413261145,94.2193,0.3,True
Ethiopia,ETH,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.44154860193994505,95.167,0.2,False
Ethiopia,ETH,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.002124469067842919,100.0,0.3,True
Falkland Islands,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.17135843735311018,100.0,0.2,False
Faroe Islands,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,3.135097001763668,38.6055,0.2,False
Faroe Islands,,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.05079365079365079,26.4261,0.3,True
Fiji,FJI,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.9015407741450582,85.5076,0.2,False
Fiji,FJI,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.029875986471251406,60.7464,0.3,True
Finland,FIN,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,2.745310776020596,46.7905,0.2,False
Finland,FIN,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,6.166,61.66,0.3,True
